沙漠之鹰 | 噩梦之夜 (崭新出厂):0.06468475839810896:234.22:219.99:0
Tec-9 | 蓝钛 (崭新出厂):0.19985001874765645:32:26.67:0
法玛斯 | 冥界之憎 (崭新出厂):0.14473684210526316:43.5:38:0
Tec-9 | 遥控 (崭新出厂):0.13340000000000005:56.67:50:0
P2000 | 火灵 (略有磨损):0.18055555555555555:85:72:0
P90 | 往日行动 (略有磨损):0.13763157894736833:43.23:38:0
SSG 08 | 巨铁 (略有磨损):0.07537313432835817:72.05:67:0
USP 消音版 | 公路杀手 (略有磨损):0.0949367088607595:173:158:0
MAG-7 | 棱彩阶梯 (崭新出厂):0.08:189:175:0
2017年克拉科夫锦标赛传奇亲笔签名胶囊:0.08776371308016882:257.8:237:0
MP9 | 铁血玫瑰 (略有磨损):0.16611111111111102:41.98:36:0
P90 | 日落百合 (崭新出厂):0.1422769386978042:90:78.79:0
PP-野牛 | 化工之绿 (崭新出厂):0.17653981953707337:25.49:29.99:0
新星 | 古董枪 (崭新出厂):0.09999999999999996:74.8:68:0
MP9 | 九头蛇 (略有磨损):0.06369130636913051:45.76:43.02:0
MAC-10 | 凝视之眼 (略有磨损):0.0638297872340426:70:65.8:0
新星 | 一见青心 (崭新出厂):0.0720946915351507:29.89:27.88:0
沙漠之鹰 | 飞行员 (久经沙场):0.06583072100313479:340:319:0
暗影双匕（★） | 澄澈之水 (崭新出厂):0.09159663865546218:649.5:595:0
封装的涂鸦 | 翻盘之王:0.12:25:28:0
USP 消音版 | 公路杀手 (久经沙场):0.10504132231404965:133.71:121:0
血猎手套（★） | 染铜 (略有磨损):0.08387096774193549:840:775:0
M4A1 消音型 | 神来之作 (略有磨损):0.08164739884393063:748.5:692:0
P2000 | 海之泡沫 (略有磨损):0.08110300081103:1333:1233:0
2019年卡托维兹锦标赛挑战组亲笔签名胶囊:0.17499999999999996:32.9:28:0
2014年 ESL One 科隆锦标赛传奇:0.07537688442211055:428:398:0
AWP | 粉红 DDPAT (久经沙场):0.07538461538461547:139.8:130:0
截短霰弹枪 | 荒野公主 (崭新出厂):0.06311688311688311:40.93:38.5:0
音乐盒 | Matt Lange - 同型节奏:0.08991825613079013:25.69:28:0
沙漠之鹰 | 遗产 (久经沙场):0.06321839080459779:34.8:37:0
